Strategy,Scenario,Player_Wins,Player_Blackjacks,Dealer_Wins,Draws,Dealer_Busts,Player_Busts,Total_Games,Starting_Bankroll,Final_Bankroll,Profit_Loss,Win_Rate_%,Blackjack_Rate_%,Target_Reached,Stopped_Early,Stop_Reason,Status
S12,1,5,0,8,0,4,0,13,2000.0,950.0,-1050.0,38.46153846153847,0.0,False,True,"Insufficient funds after 13 rounds (Need $4050.00, Have $950.00)",EARLY_STOP
S12,2,13,1,10,2,8,0,25,2000.0,3775.0,1775.0,52.0,4.0,False,False,,PROFITABLE
S12,3,3,1,4,0,2,0,7,2000.0,175.0,-1825.0,42.857142857142854,14.285714285714285,False,True,"Insufficient funds after 7 rounds (Need $4050.00, Have $175.00)",EARLY_STOP
S12,4,13,0,12,0,7,0,25,2000.0,4250.0,2250.0,52.0,0.0,False,False,,PROFITABLE
S12,5,15,0,8,2,9,0,25,2000.0,3550.0,1550.0,60.0,0.0,False,False,,PROFITABLE
S12,6,8,1,13,1,5,0,22,2000.0,1375.0,-625.0,36.36363636363637,4.545454545454546,False,True,"Insufficient funds after 22 rounds (Need $4050.00, Have $1375.00)",EARLY_STOP
S12,7,12,0,12,0,8,0,24,2000.0,1300.0,-700.0,50.0,0.0,False,True,"Insufficient funds after 24 rounds (Need $4050.00, Have $1300.00)",EARLY_STOP
S12,8,10,1,13,2,6,0,25,2000.0,2575.0,575.0,40.0,4.0,False,False,,PROFITABLE
S12,9,5,1,7,2,4,0,14,2000.0,575.0,-1425.0,35.714285714285715,7.142857142857142,False,True,"Insufficient funds after 14 rounds (Need $4050.00, Have $575.00)",EARLY_STOP
S12,10,5,0,9,0,5,0,14,2000.0,700.0,-1300.0,35.714285714285715,0.0,False,True,"Insufficient funds after 14 rounds (Need $4050.00, Have $700.00)",EARLY_STOP
S16,1,12,2,11,2,7,4,25,2000.0,3650.0,1650.0,48.0,8.0,False,False,,PROFITABLE
S16,2,12,1,12,1,7,6,25,2000.0,3125.0,1125.0,48.0,4.0,False,False,,PROFITABLE
S16,3,15,1,9,1,9,1,25,2000.0,3725.0,1725.0,60.0,4.0,False,False,,PROFITABLE
S16,4,0,0,4,1,0,2,5,2000.0,0.0,-2000.0,0.0,0.0,False,True,"Insufficient funds after 5 rounds (Need $4050.00, Have $0.00)",BUSTED
S16,5,11,3,12,2,5,3,25,2000.0,4025.0,2025.0,44.0,12.0,False,False,,PROFITABLE
S16,6,5,1,10,1,1,6,16,2000.0,1325.0,-675.0,31.25,6.25,False,True,"Insufficient funds after 16 rounds (Need $1350.00, Have $1325.00)",EARLY_STOP
S16,7,13,0,10,2,11,6,25,2000.0,3850.0,1850.0,52.0,0.0,False,False,,PROFITABLE
S16,8,14,1,8,3,11,2,25,2000.0,2775.0,775.0,56.00000000000001,4.0,False,False,,PROFITABLE
S16,9,2,1,6,0,1,2,8,2000.0,525.0,-1475.0,25.0,12.5,False,True,"Insufficient funds after 8 rounds (Need $4050.00, Have $525.00)",EARLY_STOP
S16,10,0,0,4,0,0,3,4,2000.0,0.0,-2000.0,0.0,0.0,False,True,"Insufficient funds after 4 rounds (Need $4050.00, Have $0.00)",BUSTED
